Item,Serving,Calories,Carbs,Protein,Fat,Fiber
Peanut butter with whole wheat bread,2 slice,234,26.0,10.8,10.4,5.0
Mosambi,1 piece,29,6.2,0.5,0.2,1.8
Muskmelon,1 cup,28,27.0,5.6,0.5,0.3
Pear,1 piece,32,77.0,17.6,0.9,0.3
Orange,1 piece,56,46.0,10.5,0.7,0.2
Almonds,6 almond,42,1.8,1.8,3.6,1.2
Apple,1 piece,42,88.0,20.0,0.3,0.8
Papaya smoothie,1 glass,148,18.3,5.3,6.2,2.3
Chia seeds,1 tbsp,47,4.1,1.6,3.0,3.3
Almonds,6 almond,42,1.8,1.8,3.6,1.2
Apple,1 piece,42,88.0,20.0,0.3,0.8
Apple smoothie,1 glass,145,22.0,3.6,4.9,1.6
Mosambi,1 piece,29,6.2,0.5,0.2,1.8
Almonds,6 almond,42,1.8,1.8,3.6,1.2
Granola bar,1 bar,119,16.9,1.9,4.9,2.2
Apple smoothie,1 glass,145,22.0,3.6,4.9,1.6
Oatmeal porridge,1 katori,140,16.7,6.2,5.9,2.0
Pomegranate,0.5 cup,72,16.25,1.45,1.0,3.5
Apple,1 piece,,88.0,20.0,0.3,0.8
Apple smoothie,1 glass,145,22.0,3.6,4.9,1.6
Fresh fruit salad,1 katori,60,14.0,0.9,0.5,3.6
Papaya,1 cup,84,46.0,10.4,0.9,0.2
Oatmeal porridge,1 katori,140,16.7,6.2,5.9,2.0
Pear,1 piece,,77.0,17.6,0.9,0.3
Apple,1 piece,84,88.0,20.0,0.3,0.8
Orange,1 piece,32,46.0,10.5,0.7,0.2
Almonds,4 almond,28,1.2,1.2,2.4,0.8
Muskmelon,1 cup,32,27.0,5.6,0.5,0.3
walnuts,4 piece,56,0.8,1.2,5.6,0.8
Almonds,6 almond,42,1.8,1.8,3.6,1.2
Muskmelon,1 cup,42,27.0,5.6,0.5,0.3
Pear,1 piece,56,77.0,17.6,0.9,0.3
Cashew Nuts,6 Piece,48,1.8,1.8,4.2,0.0
Almonds,6 almond,42,1.8,1.8,3.6,1.2
Granola bar,1 bar,119,16.9,1.9,4.9,2.2
Apple smoothie,1 glass,145,22.0,3.6,4.9,1.6
Oatmeal porridge,1 katori,140,16.7,6.2,5.9,2.0
Almonds,6 almond,42,1.8,1.8,3.6,1.2
Muskmelon,1 cup,84,27.0,5.6,0.5,0.3
Cashew Nuts,6 Piece,48,1.8,1.8,4.2,0.0
Cashew Nuts,6 Piece,48,1.8,1.8,4.2,0.0
Pomegranate,1 cup,144,32.5,2.9,2.0,7.0
walnuts,4 piece,56,0.8,1.2,5.6,0.8
Papaya smoothie,1 glass,148,18.3,5.3,6.2,2.3
Peanut butter with whole wheat bread,2 slice,234,26.0,10.8,10.4,5.0
Granola bar,1 bar,119,16.9,1.9,4.9,2.2
Peanut butter with whole wheat bread,1 slice,117,13.0,5.4,5.2,2.5
Oatmeal porridge,1 katori,140,16.7,6.2,5.9,2.0
Epigamia plain yoghurt,1 pack,69,5.6,7.2,2.0,0.0
Granola bar,1 bar,119,16.9,1.9,4.9,2.2
Masala oats,1 katori,80,12.8,2.3,2.2,2.4
Apple,1 piece,32,88.0,20.0,0.3,0.8
Fresh fruit salad,1 katori,60,14.0,0.9,0.5,3.6
Granola bar,1 bar,119,16.9,1.9,4.9,2.2
Papaya smoothie,1 glass,148,18.3,5.3,6.2,2.3
Oatmeal porridge,1 katori,140,16.7,6.2,5.9,2.0
Epigamia plain yoghurt,1 pack,69,5.6,7.2,2.0,0.0
Papaya,1 cup,84,46.0,10.4,0.9,0.2
Plain oats,1 serving,112,18.9,4.1,2.3,3.3
Oatmeal porridge,1 katori,140,16.7,6.2,5.9,2.0
Papaya smoothie,1 glass,148,18.3,5.3,6.2,2.3
Almonds,6 almond,42,1.8,1.8,3.6,1.2
Muskmelon,1 cup,84,27.0,5.6,0.5,0.3
walnuts,6 piece,84,1.2,1.8,8.4,1.2
Cashew Nuts,6 Piece,48,1.8,1.8,4.2,0.0
Pineapple,3 thin,78,18.3,0.6,0.3,4.8
Apple,1 piece,42,88.0,20.0,0.3,0.8
Apple smoothie,1 glass,145,22.0,3.6,4.9,1.6
Mosambi,1 piece,29,6.2,0.5,0.2,1.8
Almonds,6 almond,42,1.8,1.8,3.6,1.2
Granola bar,1 bar,119,16.9,1.9,4.9,2.2
Apple smoothie,1 glass,145,22.0,3.6,4.9,1.6
Oatmeal porridge,1 katori,140,16.7,6.2,5.9,2.0
Almonds,6 almond,42,1.8,1.8,3.6,1.2
Granola bar,1 bar,119,16.9,1.9,4.9,2.2
Apple smoothie,1 glass,145,22.0,3.6,4.9,1.6
Oatmeal porridge,1 katori,140,16.7,6.2,5.9,2.0
Almonds,4 almond,28,1.2,1.2,2.4,0.8
Oatmeal porridge,1 katori,140,16.7,6.2,5.9,2.0
Masala oats,1 katori,80,12.8,2.3,2.2,2.4
Fresh fruit salad,1 katori,60,14.0,0.9,0.5,3.6
Pomegranate,1 cup,144,32.5,2.9,2.0,7.0
Apple,1 piece,32,88.0,20.0,0.3,0.8
Apple smoothie,1.5 glass,217.5,33.0,5.4,7.35,2.4
Fresh fruit salad,1 katori,60,14.0,0.9,0.5,3.6
Almonds,6 almond,42,1.8,1.8,3.6,1.2
Almonds,6 almond,42,1.8,1.8,3.6,1.2
Papaya smoothie,1 glass,148,18.3,5.3,6.2,2.3
Chia seeds,1 tbsp,47,4.1,1.6,3.0,3.3
Pineapple,3 thin,78,18.3,0.6,0.3,4.8
Papaya smoothie,1 glass,148,18.3,5.3,6.2,2.3
Pear,1 piece,28,77.0,17.6,0.9,0.3
Oatmeal porridge,1 katori,140,16.7,6.2,5.9,2.0
Almonds,4 almond,28,1.2,1.2,2.4,0.8
Apple,1 piece,,88.0,20.0,0.3,0.8
Chia seeds,1 tbsp,47,4.1,1.6,3.0,3.3
Almonds,4 almond,28,1.2,1.2,2.4,0.8
Pomegranate,0.5 cup,72,16.25,1.45,1.0,3.5
Apple,1 piece,28,88.0,20.0,0.3,0.8
Apple smoothie,1 glass,145,22.0,3.6,4.9,1.6
Fresh fruit salad,1 katori,60,14.0,0.9,0.5,3.6
Papaya,1 cup,84,46.0,10.4,0.9,0.2
Oatmeal porridge,1 katori,140,16.7,6.2,5.9,2.0
Pear,1 piece,,77.0,17.6,0.9,0.3
Apple,1 piece,,88.0,20.0,0.3,0.8
Almonds,6 almond,42,1.8,1.8,3.6,1.2
Granola bar,1 bar,119,16.9,1.9,4.9,2.2
Apple smoothie,1 glass,145,22.0,3.6,4.9,1.6
Oatmeal porridge,1 katori,140,16.7,6.2,5.9,2.0
Almonds,6 almond,42,1.8,1.8,3.6,1.2
Muskmelon,1 cup,48,27.0,5.6,0.5,0.3
walnuts,6 piece,84,1.2,1.8,8.4,1.2
Almonds,6 almond,42,1.8,1.8,3.6,1.2
Pineapple,3 thin,78,18.3,0.6,0.3,4.8
Papaya smoothie,1 glass,148,18.3,5.3,6.2,2.3
Pear,1 piece,,77.0,17.6,0.9,0.3
Oatmeal porridge,1 katori,140,16.7,6.2,5.9,2.0
Almonds,6 almond,42,1.8,1.8,3.6,1.2
Apple,1 piece,42,88.0,20.0,0.3,0.8
Apple smoothie,1 glass,145,22.0,3.6,4.9,1.6
Mosambi,1 piece,29,6.2,0.5,0.2,1.8
Pineapple,2 thin,52,12.2,0.4,0.2,3.2
Oatmeal porridge,1 katori,140,16.7,6.2,5.9,2.0
Peanut butter with whole wheat bread,1 slice,117,13.0,5.4,5.2,2.5
Mosambi,1 piece,29,6.2,0.5,0.2,1.8
Almonds,6 almond,42,1.8,1.8,3.6,1.2
Granola bar,1 bar,119,16.9,1.9,4.9,2.2
Apple smoothie,1 glass,145,22.0,3.6,4.9,1.6
Oatmeal porridge,1 katori,140,16.7,6.2,5.9,2.0
Almonds,4 almond,28,1.2,1.2,2.4,0.8
Oatmeal porridge,1 katori,140,16.7,6.2,5.9,2.0
Masala oats,1 katori,80,12.8,2.3,2.2,2.4
Khakra,1 Piece,89,1.8,2.5,3.0,2.0
Almonds,6 almond,42,1.8,1.8,3.6,1.2
Muskmelon,1 cup,42,27.0,5.6,0.5,0.3
Pear,1 piece,56,77.0,17.6,0.9,0.3
Cashew Nuts,6 Piece,48,1.8,1.8,4.2,0.0
Papaya,1 cup,84,46.0,10.4,0.9,0.2
Plain oats,1 serving,112,18.9,4.1,2.3,3.3
Apple smoothie,1 glass,145,22.0,3.6,4.9,1.6
Papaya smoothie,1 glass,148,18.3,5.3,6.2,2.3
Pineapple,3 thin,78,18.3,0.6,0.3,4.8
Papaya smoothie,1 glass,148,18.3,5.3,6.2,2.3
Pear,1 piece,28,77.0,17.6,0.9,0.3
Oatmeal porridge,1 katori,140,16.7,6.2,5.9,2.0
Papaya,1 cup,56,46.0,10.4,0.9,0.2
Mosambi,1 piece,29,6.2,0.5,0.2,1.8
Almonds,4 almond,28,1.2,1.2,2.4,0.8
Cashew Nuts,4 Piece,32,1.2,1.2,2.8,0.0
Almonds,6 almond,42,1.8,1.8,3.6,1.2
Apple,1 piece,42,88.0,20.0,0.3,0.8
Apple smoothie,1 glass,145,22.0,3.6,4.9,1.6
Mosambi,1 piece,29,6.2,0.5,0.2,1.8
Pomegranate,1 cup,144,32.5,2.9,2.0,7.0
Apple,1 piece,,88.0,20.0,0.3,0.8
Apple smoothie,1.5 glass,217.5,33.0,5.4,7.35,2.4
Fresh fruit salad,1 katori,60,14.0,0.9,0.5,3.6
Papaya,1 cup,84,46.0,10.4,0.9,0.2
Plain oats,1 serving,112,18.9,4.1,2.3,3.3
Oatmeal porridge,1 katori,140,16.7,6.2,5.9,2.0
Mosambi,1 piece,29,6.2,0.5,0.2,1.8
Cashew Nuts,4 Piece,32,1.2,1.2,2.8,0.0
Muskmelon,1 cup,32,27.0,5.6,0.5,0.3
Pumpkin seeds,1 tbsp,52,1.3,2.7,4.4,0.6
Fresh fruit salad,1 katori,60,14.0,0.9,0.5,3.6
Papaya,1 cup,,46.0,10.4,0.9,0.2
Mosambi,1 piece,29,6.2,0.5,0.2,1.8
Almonds,4 almond,28,1.2,1.2,2.4,0.8
Cashew Nuts,4 Piece,32,1.2,1.2,2.8,0.0
Orange,1 piece,32,46.0,10.5,0.7,0.2
walnuts,4 piece,56,0.8,1.2,5.6,0.8
Muskmelon,1 cup,56,27.0,5.6,0.5,0.3
Papaya smoothie,1 glass,148,18.3,5.3,6.2,2.3
Granola bar,1 bar,119,16.9,1.9,4.9,2.2
Papaya smoothie,1 glass,148,18.3,5.3,6.2,2.3
Oatmeal porridge,1 katori,140,16.7,6.2,5.9,2.0
Epigamia plain yoghurt,1 pack,69,5.6,7.2,2.0,0.0
Pineapple,3 thin,78,18.3,0.6,0.3,4.8
Papaya smoothie,1 glass,148,18.3,5.3,6.2,2.3
Pear,1 piece,28,77.0,17.6,0.9,0.3
Oatmeal porridge,1 katori,140,16.7,6.2,5.9,2.0
Papaya,1 cup,84,46.0,10.4,0.9,0.2
Plain oats,1 serving,112,18.9,4.1,2.3,3.3
Apple smoothie,1 glass,145,22.0,3.6,4.9,1.6
Papaya smoothie,1 glass,148,18.3,5.3,6.2,2.3
Almonds,6 almond,42,1.8,1.8,3.6,1.2
Almonds,6 almond,42,1.8,1.8,3.6,1.2
Pear,1 piece,84,77.0,17.6,0.9,0.3
Cashew Nuts,6 Piece,48,1.8,1.8,4.2,0.0
Almonds,6 almond,42,1.8,1.8,3.6,1.2
Granola bar,1 bar,119,16.9,1.9,4.9,2.2
Apple smoothie,1 glass,145,22.0,3.6,4.9,1.6
Oatmeal porridge,1 katori,140,16.7,6.2,5.9,2.0
Almonds,4 almond,28,1.2,1.2,2.4,0.8
Oatmeal porridge,1 katori,140,16.7,6.2,5.9,2.0
Masala oats,1 katori,80,12.8,2.3,2.2,2.4
Khakra,1 Piece,89,1.8,2.5,3.0,2.0
Pear,1 piece,32,77.0,17.6,0.9,0.3
Masala oats,1 katori,80,12.8,2.3,2.2,2.4
Apple,1 piece,32,88.0,20.0,0.3,0.8
Fresh fruit salad,1 katori,60,14.0,0.9,0.5,3.6
Almonds,4 almond,28,1.2,1.2,2.4,0.8
Apple,1 piece,,88.0,20.0,0.3,0.8
Chia seeds,1 tbsp,47,4.1,1.6,3.0,3.3
Almonds,4 almond,28,1.2,1.2,2.4,0.8
Granola bar,1 bar,119,16.9,1.9,4.9,2.2
Masala oats,1 katori,80,12.8,2.3,2.2,2.4
Apple,1 piece,32,88.0,20.0,0.3,0.8
Fresh fruit salad,1 katori,60,14.0,0.9,0.5,3.6
Chia seeds,1 tbsp,47,4.1,1.6,3.0,3.3
Mosambi,1 piece,29,6.2,0.5,0.2,1.8
Almonds,4 almond,28,1.2,1.2,2.4,0.8
Chiku,1 piece,59,12.8,0.4,0.7,6.5
Granola bar,1 bar,119,16.9,1.9,4.9,2.2
Papaya smoothie,1 glass,148,18.3,5.3,6.2,2.3
Oatmeal porridge,1 katori,140,16.7,6.2,5.9,2.0
Epigamia plain yoghurt,1 pack,69,5.6,7.2,2.0,0.0
Almonds,6 almond,42,1.8,1.8,3.6,1.2
Apple,1 piece,42,88.0,20.0,0.3,0.8
Papaya smoothie,1 glass,148,18.3,5.3,6.2,2.3
walnuts,6 piece,84,1.2,1.8,8.4,1.2
Papaya,1 cup,84,46.0,10.4,0.9,0.2
Oatmeal porridge,1 katori,140,16.7,6.2,5.9,2.0
Pear,1 piece,,77.0,17.6,0.9,0.3
Apple,1 piece,84,88.0,20.0,0.3,0.8
Papaya,1 cup,28,46.0,10.4,0.9,0.2
Mosambi,1 piece,29,6.2,0.5,0.2,1.8
Almonds,4 almond,28,1.2,1.2,2.4,0.8
Cashew Nuts,4 Piece,32,1.2,1.2,2.8,0.0
Mosambi,1 piece,29,6.2,0.5,0.2,1.8
Muskmelon,1 cup,28,27.0,5.6,0.5,0.3
Pear,1 piece,,77.0,17.6,0.9,0.3
Figs,dried,2 piece,42.0,10.8,0.6,0.2
Granola bar,1 bar,119,16.9,1.9,4.9,2.2
Pomegranate,1 cup,144,32.5,2.9,2.0,7.0
Oatmeal porridge,1 katori,140,16.7,6.2,5.9,2.0
Epigamia plain yoghurt,1 pack,69,5.6,7.2,2.0,0.0
Almonds,6 almond,42,1.8,1.8,3.6,1.2
Muskmelon,1 cup,84,27.0,5.6,0.5,0.3
Cashew Nuts,6 Piece,48,1.8,1.8,4.2,0.0
Peanut butter with whole wheat bread,1 slice,117,13.0,5.4,5.2,2.5
Granola bar,1 bar,119,16.9,1.9,4.9,2.2
Masala oats,1 katori,80,12.8,2.3,2.2,2.4
Apple,1 piece,32,88.0,20.0,0.3,0.8
Fresh fruit salad,1 katori,60,14.0,0.9,0.5,3.6
Almonds,6 almond,42,1.8,1.8,3.6,1.2
Almonds,6 almond,42,1.8,1.8,3.6,1.2
Apple smoothie,1 glass,145,22.0,3.6,4.9,1.6
Oatmeal porridge,1 katori,140,16.7,6.2,5.9,2.0
Yoghurt,1 katori,90,4.5,4.7,6.0,0.0
Apple,1 piece,,88.0,20.0,0.3,0.8
Banana oatmeal smoothie,1 glass,228,36.3,7.7,6.0,2.4
Fresh fruit salad,1 katori,60,14.0,0.9,0.5,3.6
Almonds,6 almond,42,1.8,1.8,3.6,1.2
Granola bar,1 bar,119,16.9,1.9,4.9,2.2
Apple smoothie,1 glass,145,22.0,3.6,4.9,1.6
Oatmeal porridge,1 katori,140,16.7,6.2,5.9,2.0
Cashew Nuts,6 Piece,48,1.8,1.8,4.2,0.0
Apple,1 piece,42,88.0,20.0,0.3,0.8
Papaya smoothie,1 glass,148,18.3,5.3,6.2,2.3
Chia seeds,1 tbsp,47,4.1,1.6,3.0,3.3
Orange,1 piece,32,46.0,10.5,0.7,0.2
walnuts,4 piece,56,0.8,1.2,5.6,0.8
Muskmelon,1 cup,56,27.0,5.6,0.5,0.3
Papaya smoothie,1 glass,148,18.3,5.3,6.2,2.3
Almonds,6 almond,42,1.8,1.8,3.6,1.2
Apple,1 piece,42,88.0,20.0,0.3,0.8
Papaya smoothie,1 glass,148,18.3,5.3,6.2,2.3
walnuts,6 piece,84,1.2,1.8,8.4,1.2
Papaya,1 cup,84,46.0,10.4,0.9,0.2
Plain oats,1 serving,112,18.9,4.1,2.3,3.3
Oatmeal porridge,1 katori,140,16.7,6.2,5.9,2.0
Papaya smoothie,1 glass,148,18.3,5.3,6.2,2.3
Almonds,6 almond,42,1.8,1.8,3.6,1.2
Apple,1 piece,42,88.0,20.0,0.3,0.8
Papaya smoothie,1 glass,148,18.3,5.3,6.2,2.3
Chia seeds,1 tbsp,47,4.1,1.6,3.0,3.3
Almonds,6 almond,42,1.8,1.8,3.6,1.2
Muskmelon,1 cup,84,27.0,5.6,0.5,0.3
Cashew Nuts,6 Piece,48,1.8,1.8,4.2,0.0
Peanut butter with whole wheat bread,2 slice,234,26.0,10.8,10.4,5.0
Almonds,6 almond,42,1.8,1.8,3.6,1.2
Muskmelon,1 cup,42,27.0,5.6,0.5,0.3
Pear,1 piece,56,77.0,17.6,0.9,0.3
Cashew Nuts,6 Piece,48,1.8,1.8,4.2,0.0
Papaya,1 cup,47,46.0,10.4,0.9,0.2
Mosambi,1 piece,29,6.2,0.5,0.2,1.8
Pear,1 piece,,77.0,17.6,0.9,0.3
Apple,1 piece,28,88.0,20.0,0.3,0.8
Almonds,4 almond,28,1.2,1.2,2.4,0.8
Apple smoothie,1 glass,145,22.0,3.6,4.9,1.6
Mosambi,1 piece,29,6.2,0.5,0.2,1.8
Almonds,4 almond,28,1.2,1.2,2.4,0.8
Pineapple,3 thin,78,18.3,0.6,0.3,4.8
Apple,1 piece,42,88.0,20.0,0.3,0.8
Apple smoothie,1 glass,145,22.0,3.6,4.9,1.6
Mosambi,1 piece,29,6.2,0.5,0.2,1.8
Granola bar,1 bar,119,16.9,1.9,4.9,2.2
Papaya smoothie,1 glass,148,18.3,5.3,6.2,2.3
Peanut butter with whole wheat bread,1 slice,117,13.0,5.4,5.2,2.5
Muskmelon,1 cup,,27.0,5.6,0.5,0.3
Papaya,1 cup,84,46.0,10.4,0.9,0.2
Plain oats,1 serving,112,18.9,4.1,2.3,3.3
Apple smoothie,1 glass,145,22.0,3.6,4.9,1.6
Papaya smoothie,1 glass,148,18.3,5.3,6.2,2.3
Granola bar,1 bar,119,16.9,1.9,4.9,2.2
Papaya smoothie,1 glass,148,18.3,5.3,6.2,2.3
Oatmeal porridge,1 katori,140,16.7,6.2,5.9,2.0
Epigamia plain yoghurt,1 pack,69,5.6,7.2,2.0,0.0
Almonds,6 almond,42,1.8,1.8,3.6,1.2
Granola bar,1 bar,119,16.9,1.9,4.9,2.2
Apple smoothie,1 glass,145,22.0,3.6,4.9,1.6
Oatmeal porridge,1 katori,140,16.7,6.2,5.9,2.0
Granola bar,1 bar,119,16.9,1.9,4.9,2.2
Dates,1 piece,25,6.1,0.2,0.0,0.7
Peanut butter with whole wheat bread,1 slice,117,13.0,5.4,5.2,2.5
Muskmelon,1 cup,28,27.0,5.6,0.5,0.3
Almonds,6 almond,42,1.8,1.8,3.6,1.2
Granola bar,1 bar,119,16.9,1.9,4.9,2.2
Apple smoothie,1 glass,145,22.0,3.6,4.9,1.6
Oatmeal porridge,1 katori,140,16.7,6.2,5.9,2.0
Almonds,6 almond,42,1.8,1.8,3.6,1.2
Almonds,6 almond,42,1.8,1.8,3.6,1.2
Papaya smoothie,1 glass,148,18.3,5.3,6.2,2.3
Chia seeds,1 tbsp,47,4.1,1.6,3.0,3.3
Almonds,6 almond,42,1.8,1.8,3.6,1.2
Granola bar,1 bar,119,16.9,1.9,4.9,2.2
Apple smoothie,1 glass,145,22.0,3.6,4.9,1.6
Oatmeal porridge,1 katori,140,16.7,6.2,5.9,2.0
Almonds,6 almond,42,1.8,1.8,3.6,1.2
Granola bar,1 bar,119,16.9,1.9,4.9,2.2
Apple smoothie,1 glass,145,22.0,3.6,4.9,1.6
